episode,timestep,reward
843,10000,-6.1898
1688,20000,-0.1167
2402,30000,0.0039
3088,40000,-0.0667
3630,50000,0.1986
4214,60000,0.0568
4636,70000,-0.0456
4994,80000,-0.1227
5159,90000,0.0629
5316,100000,-0.1966
5401,110000,-0.1422
5475,120000,0.0483
5534,130000,2.0339
5594,140000,2.2861
5641,150000,-1.7025
5695,160000,0.4972
5731,170000,0.7222
5763,180000,-7.4152
5784,190000,2.9861
5815,200000,10.2767
5831,210000,-25.4553
5852,220000,11.7279
5865,230000,2.4615
5879,240000,-8.5714
5882,250000,227.3333
5890,260000,-77.0
5898,270000,101.125
5907,280000,103.5556
5910,290000,-149.6667
5914,300000,-45.3888
5918,310000,-183.6112
5921,320000,1491.0955
5925,330000,-851.2278
5927,340000,1677.8122
5932,350000,-798.7664
5935,360000,-86.056
5938,370000,1137.8079
5942,380000,-189.762
5944,390000,798.8122
5946,400000,-1117.0
5948,410000,1107.0
5952,420000,-671.8969
5956,430000,-199.1031
5958,440000,1750.7548
5960,450000,41.2452
5962,460000,-60.0
5965,470000,-1151.3333
5968,480000,1164.6667
5970,490000,0.0
5973,500000,0.0
5976,510000,-675.2828
5978,520000,455.4242
5980,530000,537.5
5982,540000,10.0
5985,550000,-6.6667
5988,560000,40.0
5990,570000,-838.2452
5993,580000,-650.1699
5995,590000,1773.5
5997,600000,-1.2452
5999,610000,1.2452
6001,620000,-1.2452
6003,630000,-1.5431
6005,640000,-17.2118
6007,650000,-1556.0
6009,660000,1575.6878
6011,670000,-20.7955
6013,680000,61.1077
6015,690000,-52.6268
6018,700000,-1509.457
6020,710000,2316.8122
6022,720000,-40.0
6025,730000,-6.6667
6027,740000,-0.0
6029,750000,9.6878
6031,760000,-0.933
6033,770000,-9.9273
6035,780000,9.9273
6037,790000,1.2452
6039,800000,-10.2939
6041,810000,2.6633
6043,820000,46.1394
6045,830000,-38.8211
6047,840000,-9.9817
6049,850000,9.0487
6051,860000,1.2452
6053,870000,-0.3122
6055,880000,39.8962
6057,890000,-11.1135
6059,900000,-38.4705
6062,910000,-1250.0
6064,920000,1874.7061
6066,930000,50.2939
6068,940000,-40.0
6070,950000,0.0
6072,960000,-10.0
6074,970000,38.4705
6076,980000,-38.4705
6078,990000,-11.1077
6080,1000000,57.4145
6082,1010000,-36.3068
6084,1020000,-10.2939
6086,1030000,9.0487
6088,1040000,-3.6791
6090,1050000,-5.0758
6092,1060000,40.0
6095,1070000,-1576.9476
6098,1080000,39.9476
6100,1090000,2274.2548
6102,1100000,-9.9273
6104,1110000,51.1724
6106,1120000,-60.2776
6108,1130000,9.9837
6110,1140000,9.9817
6112,1150000,17.134
6114,1160000,-16.8218
6116,1170000,28.4705
6118,1180000,-52.3183
6120,1190000,18.9235
6122,1200000,41.2311
6124,1210000,-46.3068
6126,1220000,9.6878
6128,1230000,0.0
6130,1240000,-9.6878
6133,1250000,-485.5415
6135,1260000,776.6569
6137,1270000,-38.3447
6139,1280000,-0.3122
6141,1290000,-10.5679
6143,1300000,10.8801
6145,1310000,40.0
6147,1320000,-41.2452
6149,1330000,1.2452
6151,1340000,16.8218
6153,1350000,-40.6696
6155,1360000,3.5702
6157,1370000,17.4894
6159,1380000,42.7882
6161,1390000,-40.3122
6163,1400000,-0.933
6165,1410000,-3.6791
6167,1420000,3.6791
6169,1430000,-3.6791
6171,1440000,-2009.0
6174,1450000,340.1948
6176,1460000,1543.2161
6178,1470000,-49.8779
6181,1480000,-1550.9076
6183,1490000,2326.3614
6185,1500000,9.9817
6187,1510000,-0.933
6189,1520000,-9.0487
6191,1530000,7.5057
6196,1540000,1.1153
6198,1550000,-1.2452
6201,1560000,-1588.4508
6203,1570000,2381.1332
6205,1580000,2.476
6207,1590000,0.0
6210,1600000,-1370.4061
6212,1610000,1685.1275
6214,1620000,-103.8614
6216,1630000,473.4101
6218,1640000,30.8611
6220,1650000,8.7288
6222,1660000,-38.6569
6224,1670000,0.3122
6226,1680000,-10.0
6228,1690000,-4.6425
6230,1700000,14.6425
6232,1710000,-12.6268
6234,1720000,12.6268
6236,1730000,-20.0
6238,1740000,19.6878
6241,1750000,0.2081
6243,1760000,-1002.0295
6245,1770000,1002.0295
6247,1780000,-0.3122
6249,1790000,-9.9817
6251,1800000,9.9817
6253,1810000,-2.476
6255,1820000,-7.2118
6257,1830000,29.6433
6259,1840000,-40.751
6263,1850000,-447.0174
6272,1860000,-348.8902
6275,1870000,25.7655
6278,1880000,175.9155
6280,1890000,2172.3329
6282,1900000,7.5057
6285,1910000,1.6507
6287,1920000,-16.8883
6289,1930000,7.2005
6291,1940000,8.7548
6293,1950000,-8.7548
6295,1960000,10.0
6299,1970000,-1235.2107
6301,1980000,2450.4214
6303,1990000,-1639.0
6306,2000000,-522.1035
6309,2010000,1621.2409
6314,2020000,-980.8825
6318,2030000,230.6498
6321,2040000,366.6667
6326,2050000,579.9821
6328,2060000,1.2452
6331,2070000,-1568.0
6333,2080000,2332.0
6336,2090000,-1631.9045
6338,2100000,133.4407
6340,2110000,2333.1708
6345,2120000,-977.3019
6349,2130000,107.25
6351,2140000,2229.6878
6354,2150000,-0.622
6356,2160000,1.2452
6359,2170000,-0.8301
6361,2180000,-1.5431
6363,2190000,-7.5057
6365,2200000,5.3696
6367,2210000,0.0
6369,2220000,4.612
6371,2230000,-12.3146
6373,2240000,12.6268
6376,2250000,-1127.3333
6379,2260000,1119.885
6381,2270000,11.1724
6383,2280000,39.5841
6385,2290000,-49.8779
6387,2300000,-230.0183
6389,2310000,229.1398
6391,2320000,8.3842
6393,2330000,-17.2118
6396,2340000,13.3333
6398,2350000,-12.6268
6401,2360000,6.559
6403,2370000,1.5431
6405,2380000,1.2452
6407,2390000,-4.9242
6410,2400000,-871.7172
6412,2410000,1302.5
6414,2420000,9.6878
6416,2430000,39.8962
6418,2440000,-60.6918
6420,2450000,21.1077
6422,2460000,-2.7882
6424,2470000,1.5431
6426,2480000,-21.2377
6428,2490000,19.6947
6430,2500000,-7.5057
6432,2510000,5.3696
6435,2520000,-3.5798
6437,2530000,2.6633
6439,2540000,6.3854
6441,2550000,-11.3816
6444,2560000,28.1618
6446,2570000,-12.7942
6448,2580000,-16.8218
6450,2590000,0.0
6452,2600000,-20.2776
6454,2610000,59.8616
6456,2620000,-39.5841
6458,2630000,-0.0
6460,2640000,-0.3122
6462,2650000,-4.612
6464,2660000,3.6791
6466,2670000,1.2452
6468,2680000,-0.3122
6470,2690000,-9.6878
6472,2700000,10.0
6474,2710000,-20.0
6476,2720000,19.6878
6478,2730000,0.3122
6480,2740000,-2.7882
6482,2750000,42.3723
6484,2760000,-1.2393
6486,2770000,-60.8276
6488,2780000,19.6947
6490,2790000,42.3723
6492,2800000,-39.5841
