episode,timestep,reward
888,10000,-210.1836
1790,20000,-210.0953
2470,30000,-213.6868
3161,40000,-213.4761
3551,50000,-224.6103
3952,60000,-223.9701
4178,70000,-243.2035
4432,80000,-238.0748
4558,90000,-278.6349
4672,100000,-286.6053
4766,110000,-305.3723
4882,120000,-284.7241
4948,130000,-348.3788
5017,140000,-345.087
5057,150000,-448.525
5097,160000,-447.625
5117,170000,-676.95
5136,180000,-664.6842
5152,190000,-914.4375
5175,200000,-613.5652
5186,210000,-1146.1818
5206,220000,-718.6
5210,230000,-2301.25
5214,240000,-2654.0
5217,250000,-2997.6667
5223,260000,-2406.5
5226,270000,-2985.6667
5229,280000,-3651.6667
5234,290000,-2114.8
5236,300000,-2330.0
5239,310000,-4135.3333
5242,320000,-2967.6667
5244,330000,-4904.5
5247,340000,-3467.0
5250,350000,-4155.0
5256,360000,-1853.6667
5258,370000,-4829.5
5260,380000,-4796.5
5263,390000,-4300.3333
5266,400000,-3464.6667
5268,410000,-4913.0
5272,420000,-2859.75
5274,430000,-5199.0
5277,440000,-2801.0
5280,450000,-3578.3333
5282,460000,-4600.5
5284,470000,-5199.0
5286,480000,-5199.0
5288,490000,-4675.0
5291,500000,-5092.6667
5293,510000,-5199.0
5295,520000,-4533.5
5297,530000,-5199.0
5299,540000,-5199.0
5301,550000,-5199.0
5303,560000,-5199.0
5305,570000,-5199.0
5308,580000,-3662.0
5310,590000,-5199.0
