episode,timestep,reward
155,2000,-4981.2129
307,4000,-4980.6184
557,6000,-4986.444
803,8000,-4985.9268
1126,10000,-4989.3127
1451,12000,-4988.9446
1796,14000,-4990.5565
2126,16000,-4989.6727
2490,18000,-4990.4176
2843,20000,-4990.255
3214,22000,-4990.8437
3579,24000,-4990.6712
3957,26000,-4991.3466
4336,28000,-4991.1583
4719,30000,-4991.7154
5116,32000,-4992.3501
5510,34000,-4992.4213
5905,36000,-4992.6481
6311,38000,-4993.6059
6710,40000,-4993.0125
7117,42000,-4993.9533
7529,44000,-4993.6117
7957,46000,-4994.486
8381,48000,-4994.4198
8802,50000,-4994.8432
9227,52000,-4994.6518
9660,54000,-4995.1986
10087,56000,-4994.8173
10526,58000,-4995.4647
10962,60000,-4995.4083
11398,62000,-4995.4885
11834,64000,-4995.5894
12266,66000,-4995.6088
12692,68000,-4995.27
13130,70000,-4995.9087
13575,72000,-4995.8966
14011,74000,-4995.7477
14447,76000,-4995.7798
14896,78000,-4996.1136
15335,80000,-4995.9043
15768,82000,-4995.9654
16212,84000,-4996.1577
16652,86000,-4995.9068
17104,88000,-4996.2456
17542,90000,-4996.0662
17981,92000,-4996.082
18421,94000,-4996.1114
