episode,timestep,reward
126,2000,-4.6905
249,4000,-0.0488
353,6000,-0.0288
460,8000,-0.1121
551,10000,0.2198
645,12000,0.234
723,14000,-0.0769
798,16000,-0.4
854,18000,0.125
913,20000,0.4746
958,22000,-1.8444
998,24000,0.725
1033,26000,-1.7143
1063,28000,2.2667
1098,30000,-0.0857
1125,32000,-1.1852
1138,34000,-7.8462
1162,36000,1.8333
1177,38000,6.6
1191,40000,-2.7857
1201,42000,-11.4
1212,44000,-6.7273
1225,46000,8.5385
1238,48000,-28.2308
1242,50000,129.75
1251,52000,67.2222
1258,54000,-152.7143
1266,56000,52.25
1270,58000,-152.5
1276,60000,39.3333
1280,62000,83.75
1283,64000,-279.6667
1290,66000,243.2857
1295,68000,-211.4
1298,70000,-70.0
1303,72000,243.6
1306,74000,-260.6667
1311,76000,-4.8
