episode,timestep,reward
839,10000,-204.4017
1642,20000,-204.67
2308,30000,-207.7793
2992,40000,-207.5015
3372,50000,-201.5342
3812,60000,-213.9841
4130,70000,-220.3962
4482,80000,-217.7415
4684,90000,-232.4505
4903,100000,-228.3516
5039,110000,-250.5588
5184,120000,-208.6207
5298,130000,-168.0351
5403,140000,-263.0857
5484,150000,-282.0247
5574,160000,-271.9889
5628,170000,-128.537
5684,180000,-219.0536
5727,190000,-355.8837
5761,200000,-242.1765
5808,210000,-119.3617
5843,220000,61.6571
5889,230000,-118.3696
5938,240000,-221.5714
5982,250000,-233.7045
6014,260000,-237.3438
6040,270000,-35.5385
6062,280000,-231.0455
6092,290000,-254.5667
6122,300000,-45.9667
6142,310000,-542.4
6164,320000,-468.0455
6182,330000,-275.2222
6193,340000,205.6364
6204,350000,-254.6364
6220,360000,-664.25
6230,370000,-840.7
6241,380000,-387.7273
6245,390000,-1052.75
6252,400000,-1208.1429
6262,410000,-951.7
6266,420000,-1495.25
6269,430000,-1655.6667
6273,440000,-1529.25
6281,450000,-2.75
6285,460000,-1370.5
6288,470000,-186.3333
6292,480000,-1152.75
6299,490000,-1069.0
6302,500000,-1966.3333
6306,510000,-140.25
6312,520000,-292.0
6314,530000,-1946.0
