episode,timestep,reward
798,10000,-210.8784
1607,20000,-211.3758
2223,30000,-215.2386
2825,40000,-214.5664
3328,50000,-217.9145
3806,60000,-219.9247
4223,70000,-210.5132
4625,80000,-223.8657
4966,90000,-228.3402
5290,100000,-229.6728
5537,110000,-239.668
5777,120000,-240.7125
5940,130000,-228.0736
6120,140000,-254.8778
6246,150000,-277.9524
6369,160000,-238.4309
6474,170000,-195.2667
6575,180000,-296.9208
6653,190000,-261.7564
6743,200000,-194.4333
6806,210000,-271.4127
6884,220000,-324.3974
6941,230000,-290.9123
6995,240000,-287.5
7049,250000,5.7963
7103,260000,-289.9815
7151,270000,-410.5417
7200,280000,-85.551
7249,290000,-292.2041
7288,300000,-325.5385
7316,310000,-559.4643
7349,320000,-501.303
7375,330000,-574.8462
7395,340000,-396.55
7422,350000,-417.3704
7444,360000,-651.1364
7453,370000,-1293.5556
7466,380000,-73.8462
