episode,timestep,reward
160,2000,-5065.5095
326,4000,-5065.9237
584,6000,-5071.0123
833,8000,-5071.4836
1139,10000,-5073.4295
1445,12000,-5073.9532
1779,14000,-5075.0413
2112,16000,-5074.8434
2478,18000,-5076.587
2836,20000,-5075.7699
3198,22000,-5075.6181
3569,24000,-5075.851
3958,26000,-5076.5985
4340,28000,-5077.1051
4734,30000,-5077.9352
5137,32000,-5078.8696
5535,34000,-5077.179
5932,36000,-5077.0503
6337,38000,-5078.3035
6741,40000,-5078.6483
7154,42000,-5079.3158
7553,44000,-5077.8935
7973,46000,-5079.6941
