episode,timestep,reward
795,10000,-192.005
1582,20000,-193.601
2248,30000,-192.4459
2902,40000,-192.1269
3348,50000,-193.8161
3801,60000,-192.4812
4062,70000,-188.3027
4312,80000,-184.54
4464,90000,-167.7566
4594,100000,-164.0692
4685,110000,-146.8462
4776,120000,-141.1099
4833,130000,-95.1579
4891,140000,-111.0
4932,150000,-82.5122
4969,160000,-71.3243
4992,170000,-14.1739
5014,180000,150.9545
5029,190000,414.3333
5046,200000,229.5294
5056,210000,731.9
5066,220000,461.4
5071,230000,855.0
5079,240000,2069.5
5085,250000,1888.5
5090,260000,3356.0
5094,270000,4046.25
5098,280000,3211.5
5102,290000,4935.0
5104,300000,6307.5
5109,310000,669.2
5112,320000,4638.6667
5115,330000,5447.3333
5117,340000,8746.5
5121,350000,5199.25
5123,360000,7139.5
5126,370000,3450.0
5128,380000,2442.5
5131,390000,3021.6667
5133,400000,8653.0
5135,410000,9062.5
5137,420000,6372.5
5141,430000,4014.25
5143,440000,2789.5
5146,450000,4430.3333
5148,460000,8608.5
5150,470000,9070.5
5152,480000,9048.0
5154,490000,9052.5
5156,500000,9055.0
5158,510000,9111.5
5160,520000,9137.5
5162,530000,9402.0
5164,540000,9376.5
5166,550000,7199.0
5168,560000,9403.0
5170,570000,9331.5
5172,580000,9296.0
5174,590000,9334.5
5176,600000,9343.5
5178,610000,9417.0
5180,620000,9390.0
5182,630000,9367.5
5184,640000,9377.0
5186,650000,9424.5
5189,660000,6883.3333
5191,670000,9429.0
5193,680000,9403.0
5195,690000,9481.5
5197,700000,9508.5
5199,710000,7350.5
5201,720000,9254.0
5203,730000,9297.0
5205,740000,9046.0
5207,750000,9522.0
5209,760000,9541.5
5211,770000,9503.0
5213,780000,9507.0
5215,790000,9553.5
5217,800000,9534.0
5219,810000,9560.5
5221,820000,9540.5
5223,830000,9467.5
5225,840000,9526.5
5227,850000,9569.0
5229,860000,9649.0
5231,870000,9647.0
5233,880000,9642.0
5235,890000,9653.5
5237,900000,9657.0
5239,910000,9606.0
5241,920000,9646.5
5243,930000,9597.5
5245,940000,9558.0
5247,950000,9585.5
5249,960000,9481.5
5251,970000,9559.5
5253,980000,9481.5
5255,990000,9567.5
5257,1000000,9521.0
5259,1010000,9466.0
5261,1020000,9478.5
5264,1030000,7099.0
5266,1040000,9448.5
5268,1050000,9474.5
5270,1060000,9544.5
5272,1070000,9452.5
5274,1080000,9483.5
5276,1090000,9552.5
5278,1100000,9481.5
5280,1110000,8537.5
5282,1120000,9554.5
5284,1130000,9605.0
5286,1140000,9519.5
5288,1150000,9552.0
5290,1160000,9598.0
5292,1170000,9569.0
5294,1180000,9577.0
5296,1190000,9604.0
5298,1200000,9586.5
5300,1210000,9621.5
5302,1220000,9607.0
5304,1230000,9648.5
5306,1240000,9662.5
5308,1250000,9651.5
5310,1260000,9653.0
5312,1270000,9611.5
5314,1280000,9619.5
5316,1290000,9557.5
5318,1300000,9521.0
5320,1310000,9588.0
5322,1320000,9607.5
5326,1330000,5777.25
5328,1340000,9611.5
5330,1350000,9612.5
5332,1360000,9670.0
5334,1370000,9632.0
5336,1380000,9666.0
5338,1390000,9566.0
5340,1400000,9584.5
5342,1410000,9620.5
5344,1420000,9617.0
5346,1430000,9609.5
5348,1440000,9608.0
5350,1450000,9566.0
5352,1460000,9581.0
5354,1470000,9510.5
5356,1480000,9571.5
5358,1490000,9573.0
5360,1500000,9564.0
5362,1510000,9569.0
5364,1520000,9652.5
5366,1530000,9609.0
5368,1540000,8387.5
5370,1550000,9661.5
5373,1560000,6959.6667
5375,1570000,9563.5
5377,1580000,9574.0
5379,1590000,9595.0
5381,1600000,9587.0
5383,1610000,9590.5
5385,1620000,9594.5
5387,1630000,9620.0
5389,1640000,9592.0
5391,1650000,9560.5
5393,1660000,9560.5
5395,1670000,9555.0
5397,1680000,9579.0
5399,1690000,9545.5
5401,1700000,9519.5
5403,1710000,9478.0
5405,1720000,8601.5
5407,1730000,9477.5
5409,1740000,9434.0
5411,1750000,9541.0
5413,1760000,9525.0
5415,1770000,9526.5
5417,1780000,9557.5
5419,1790000,9533.5
5421,1800000,9530.0
5423,1810000,9523.5
5425,1820000,9473.0
5427,1830000,9522.0
5429,1840000,9472.5
5431,1850000,9473.5
5433,1860000,9478.5
5435,1870000,9450.5
5437,1880000,9443.5
5439,1890000,9403.0
5441,1900000,9448.0
5443,1910000,8464.5
5445,1920000,9168.5
5447,1930000,9177.0
5449,1940000,9198.0
5451,1950000,9225.5
5453,1960000,9225.5
5455,1970000,9307.5
5457,1980000,9267.5
5459,1990000,9243.5
5461,2000000,9270.0
5463,2010000,9330.5
5465,2020000,9317.0
5467,2030000,9408.0
5469,2040000,9364.0
5471,2050000,9401.5
5473,2060000,9327.0
5475,2070000,9397.0
5477,2080000,9373.5
5479,2090000,9332.0
5481,2100000,9317.5
5483,2110000,9280.5
5485,2120000,9251.5
5487,2130000,9250.5
5489,2140000,9193.5
5491,2150000,9176.0
5493,2160000,9152.0
5495,2170000,9196.0
5497,2180000,9164.5
5499,2190000,9141.0
