episode,timestep,reward
155,2000,-4.2839
303,4000,-0.1757
436,6000,-0.0602
545,8000,0.0917
644,10000,0.3131
739,12000,0.3579
839,14000,-0.39
924,16000,-0.0235
984,18000,0.45
1056,20000,-0.4444
1105,22000,-0.449
1164,24000,1.1864
1209,26000,0.4
1251,28000,-0.7857
1286,30000,-1.1429
1328,32000,1.3095
1360,34000,-2.875
1391,36000,2.129
1409,38000,-0.1111
1433,40000,-8.375
1451,42000,11.2222
1469,44000,-0.4444
1485,46000,-10.1875
1498,48000,9.1538
1504,50000,-2.1667
1511,52000,-123.2857
1519,54000,107.5
1524,56000,-32.8
1534,58000,5.6
1541,60000,83.0
1549,62000,-50.0
1556,64000,1.5714
1559,66000,-249.0
1561,68000,118.5
1565,70000,10.5
1567,72000,94.0
1569,74000,-95.0
1573,76000,12.25
1577,78000,90.5
1579,80000,-211.5
1583,82000,6.0
1586,84000,93.6667
1590,86000,35.25
1592,88000,-216.0
1594,90000,5.0
1596,92000,-9.0
1599,94000,84.3333
1602,96000,-203.0
1604,98000,187.0
1606,100000,0.0
1609,102000,-71.0
1612,104000,77.6667
1614,106000,-10.0
1616,108000,-1.0
1618,110000,-9.0
1620,112000,10.0
1622,114000,150.0
1625,116000,-28.3333
1627,118000,-107.5
1630,120000,-3.6667
1632,122000,3.5
1634,124000,2.0
1636,126000,-5.0
1638,128000,5.0
1641,130000,0.0
1643,132000,-5.0
1646,134000,3.3333
1648,136000,-1.0
1650,138000,1.0
1652,140000,0.0
1654,142000,-149.0
