episode,timestep,reward
725,10000,-7.3645
1472,20000,0.0194
2085,30000,0.0347
2693,40000,0.0892
3183,50000,-0.0763
3707,60000,0.1385
4057,70000,-0.1598
4408,80000,-0.2124
4593,90000,0.2246
4814,100000,0.2579
4927,110000,-0.4248
5058,120000,-0.0458
5128,130000,-0.0286
5210,140000,1.7607
5265,150000,-0.0432
5325,160000,3.0235
5364,170000,9.7074
5386,180000,-17.4545
5402,190000,10.2819
5421,200000,-3.3338
5431,210000,3.5983
5454,220000,-9.7353
5461,230000,83.8818
5474,240000,-52.8009
5482,250000,14.047
5490,260000,-0.25
5495,270000,68.8742
5501,280000,243.6164
5506,290000,94.911
5512,300000,-90.8081
5514,310000,-205.0758
5519,320000,682.6751
5522,330000,-1611.9553
5527,340000,418.8981
5530,350000,282.3333
5533,360000,-967.6667
5538,370000,233.6751
5540,380000,1814.8122
5543,390000,-0.2081
5546,400000,-13.8637
5548,410000,11.1077
5551,420000,-1135.4368
5554,430000,-282.3933
5557,440000,268.1634
5559,450000,1731.7118
5562,460000,-4.8079
5565,470000,-1578.5255
5567,480000,2377.476
5570,490000,-1047.0
5574,500000,-385.6573
5576,510000,2329.5
5578,520000,11.3816
5580,530000,1.2452
5584,540000,-0.0
5586,550000,-0.3122
5588,560000,-2.476
5590,570000,32.4042
5594,580000,-486.9641
5596,590000,924.0346
5599,600000,13.3102
5601,610000,17.134
5605,620000,-1061.5578
5608,630000,1139.0924
5610,640000,416.2339
5612,650000,-29.7511
5614,660000,0.0
5616,670000,10.8602
5618,680000,0.3122
5620,690000,0.0
5622,700000,-26.8154
5624,710000,-1112.4968
5627,720000,757.6827
5629,730000,32.7882
5631,740000,-30.0
5633,750000,-14.6425
5635,760000,13.3973
5637,770000,-9.9273
5639,780000,0.8786
5641,790000,10.2939
5643,800000,26.5834
5646,810000,-1051.3889
5649,820000,1032.8366
5651,830000,-13.3973
5653,840000,14.6425
5656,850000,-0.2081
5659,860000,-1332.4585
5661,870000,1987.8276
5663,880000,10.8602
5665,890000,0.3122
5667,900000,38.3447
5669,910000,-38.3447
5671,920000,30.0
5673,930000,-13.1782
5676,940000,-1609.4067
5678,950000,2397.2882
5680,960000,-1.3122
5682,970000,-1.476
5684,980000,-2.136
5687,990000,-1159.3838
5689,1000000,1733.7061
5691,1010000,9.9817
5693,1020000,-752.0
5695,1030000,752.3122
5697,1040000,-114.7882
5699,1050000,113.5431
5702,1060000,-4.2569
5704,1070000,47.2146
5706,1080000,-59.8616
5708,1090000,19.9654
5710,1100000,0.0
5713,1110000,-1032.9769
5715,1120000,1539.7776
5717,1130000,8.7548
5719,1140000,-6.3854
5721,1150000,-2.6633
5723,1160000,-2.3329
5725,1170000,0.0
5727,1180000,12.3146
5729,1190000,0.3122
5731,1200000,38.3447
5733,1210000,-38.6569
5735,1220000,-0.933
5737,1230000,0.933
5739,1240000,-4.612
5741,1250000,41.2311
5743,1260000,-36.619
5745,1270000,38.6569
5747,1280000,-143.1569
5749,1290000,94.8122
5751,1300000,10.0
5753,1310000,-10.2939
5755,1320000,0.0
5757,1330000,0.2939
5759,1340000,-1.1724
5761,1350000,9.9273
5763,1360000,-8.7548
5765,1370000,-2.6268
5767,1380000,12.6268
5769,1390000,-1.2452
5771,1400000,0.0
5774,1410000,-5.8366
5776,1420000,-10.0
5779,1430000,-1592.0
5782,1440000,69.6667
5784,1450000,2343.5
5786,1460000,-40.0
5788,1470000,0.0
5791,1480000,-409.5184
5794,1490000,409.5184
5796,1500000,30.0
5798,1510000,-30.3122
5800,1520000,-19.6878
5802,1530000,20.0
5804,1540000,-21.1077
5806,1550000,21.1077
5808,1560000,-1.2452
5810,1570000,-19.8625
5812,1580000,-2121.0228
5814,1590000,2132.1305
5817,1600000,-517.095
5819,1610000,-683.8575
5821,1620000,1458.3276
5824,1630000,34.115
5826,1640000,-1702.7452
5828,1650000,1659.9569
5830,1660000,2.476
5832,1670000,0.0
5834,1680000,40.3122
5836,1690000,-41.2452
5838,1700000,-8.7548
5840,1710000,8.7548
5842,1720000,-0.0
5844,1730000,18.0669
5846,1740000,-34.0222
5848,1750000,9.5699
5850,1760000,2.7063
5852,1770000,-7.7025
5854,1780000,39.2101
5856,1790000,-26.5834
5858,1800000,-11.1724
5861,1810000,-247.885
5863,1820000,413.0
5865,1830000,-628.3122
5867,1840000,638.3122
5869,1850000,-20.3567
5871,1860000,-29.6433
5873,1870000,8.7548
5875,1880000,-13.3973
5877,1890000,14.6425
5879,1900000,40.0
5881,1910000,-40.3122
5883,1920000,0.0
5885,1930000,-20.7955
5888,1940000,14.0718
5890,1950000,0.0
5892,1960000,-10.2939
5894,1970000,9.0487
5897,1980000,-1441.5032
5899,1990000,2152.3276
5901,2000000,-0.0
5904,2010000,-1291.081
5907,2020000,1318.5292
5909,2030000,-40.0
5914,2040000,3.5019
5916,2050000,41.2452
5918,2060000,-54.6425
5921,2070000,3.095
5923,2080000,-0.2939
5926,2090000,-824.4708
5929,2100000,-747.1921
5932,2110000,1578.5255
5935,2120000,-558.2378
5937,2130000,270.6115
