episode,timestep,reward
137,2000,-4.3723
270,4000,-0.015
386,6000,0.1207
499,8000,0.0088
584,10000,-0.2706
677,12000,0.2366
745,14000,0.0147
822,16000,-0.039
883,18000,-0.5082
951,20000,-0.0882
1010,22000,0.1017
1068,24000,0.2241
1111,26000,0.186
1151,28000,-1.075
1184,30000,0.8788
1210,32000,-4.1923
1241,34000,3.5806
1281,36000,0.625
1300,38000,-7.7895
1320,40000,6.05
1342,42000,-2.1364
1356,44000,-0.5
1370,46000,6.0
1381,48000,-6.0909
1389,50000,-6.25
1405,52000,1.1875
1408,54000,-53.6667
1414,56000,-37.5
1421,58000,28.2857
1425,60000,-64.5
1430,62000,1190.2
1435,64000,-1156.6
1437,66000,-44.0
1442,68000,90.2
1448,70000,-9.3333
1451,72000,-131.3333
1453,74000,-149.5
1456,76000,185.0
1458,78000,-131.0
1462,80000,-3.25
1464,82000,5.0
1466,84000,5.0
1468,86000,-4.5
1471,88000,-2.3333
1473,90000,82.5
1475,92000,-74.5
1478,94000,1731.3333
1480,96000,-2600.0
1482,98000,-3.5
1485,100000,-51.3333
1487,102000,81.5
1490,104000,-1.3333
1493,106000,2.0
1495,108000,0.0
1497,110000,-47.5
1499,112000,2580.5
1501,114000,-2746.0
1503,116000,211.5
1505,118000,-172.0
1507,120000,-38.5
1511,122000,215.0
1513,124000,-221.5
1515,126000,1.5
1517,128000,2.5
1519,130000,-8.0
1522,132000,-4.6667
1524,134000,10.5
1526,136000,-1.0
1528,138000,5.5
1530,140000,-12.5
1534,142000,92.25
1536,144000,-173.5
1538,146000,2.0
1540,148000,-2.5
1542,150000,-5.0
1544,152000,4.5
1546,154000,-1.0
1549,156000,-41.6667
1551,158000,60.0
1553,160000,3.0
1555,162000,-1.5
1557,164000,0.5
1561,166000,-0.25
1563,168000,4.5
1565,170000,-2.5
