episode,timestep,reward
121,2000,-11.2645
245,4000,0.6532
343,6000,1.1429
449,8000,-0.2264
542,10000,1.9355
615,12000,-1.2055
657,14000,2.381
710,16000,-0.2264
743,18000,-2.0909
769,20000,2.8462
785,22000,3.6875
800,24000,0.0
813,26000,-3.8462
823,28000,4.8
837,30000,0.1429
842,32000,-0.4
848,34000,-11.6667
856,36000,184.0
859,38000,-480.6667
862,40000,180.0
868,42000,-83.0
873,44000,0.0
877,46000,-6.0
881,48000,3.5
884,50000,2.6667
887,52000,0.6667
891,54000,-2.5
894,56000,3.3333
898,58000,112.5
900,60000,25.0
903,62000,-174.6667
906,64000,-26.0
908,66000,296.0
913,68000,-108.0
915,70000,250.0
917,72000,24.0
919,74000,-28.5
921,76000,24.5
923,78000,-257.0
926,80000,-22.0
928,82000,295.0
930,84000,-250.0
932,86000,245.0
934,88000,4.0
936,90000,-24.0
939,92000,-150.0
941,94000,224.0
943,96000,1.0
945,98000,0.0
947,100000,25.0
950,102000,-166.6667
953,104000,166.6667
955,106000,-26.0
957,108000,14.0
959,110000,11.0
