episode,timestep,reward
860,10000,-191.3814
1734,20000,-191.5744
2451,30000,-192.1437
3108,40000,-192.1903
3547,50000,-192.6082
3990,60000,-191.4989
4284,70000,-196.3571
4608,80000,-193.463
4839,90000,-192.026
5076,100000,-193.1055
5269,110000,-188.6218
5457,120000,-188.5053
5584,130000,-175.189
5726,140000,-179.0775
5813,150000,-83.7241
5929,160000,-162.6983
6001,170000,-136.6667
6097,180000,-146.7708
6137,190000,-124.9
6190,200000,-139.566
6231,210000,-75.2439
6267,220000,-52.3889
6300,230000,-4.6061
6338,240000,-27.2895
6352,250000,348.9286
6364,260000,620.5833
6374,270000,679.8
